,game,date,metacritic_score,review,thumbs_ups,total_thumbs
15,Psychonauts 2,"Aug 27, 2021",10,"<span class=""blurb blurb_expanded"">I  was waiting for the sequel for a 15 years and it was worth it — It's a very fun game in dialogues and gameplay as well. Storyline is great, characters are more catchy this time, but stories of the people is less violent then before, that's kinda sad. Gameplay is good and diverse, but too easy — especially the bosses. Design is great and overall look is good, tho textures need a little bit more details. Definitely recommend to buy it on a sale if you like platform games</span>",6,8
16,Psychonauts 2,"Sep  6, 2021",10,"<span class=""blurb blurb_expanded"">10 points, because it is an excellent game and there are more than 100 languages on the world. if you want to protest the missing localisation of a game, you can buy other games instead of that game. But downvoting a game, which you didn't play or which you liked is a behaviour to shame. it is a small studio and they didnt hide the available languages before the game released. for me, it is the best game i played in 2021</span>",6,8
17,Psychonauts 2,"Nov 15, 2021",10,"<span>A delicious journey through the human mind, with mechanics that alone are fun, but together they are simply fantastic.
<br/>a game that makes it clear once and for all that video games are a magnificent art form.</span>",3,4
18,Psychonauts 2,"Aug 28, 2021",10,"<span>It's been a since the last time a game just grabbed me. I loved the story, the levels are just so freaking awesome. And just the ideas behind it was just wonderful start to finish.</span>",5,7
19,Psychonauts 2,"Sep  1, 2021",10,"<span class=""blurb blurb_expanded"">If you want to see real reviews of this game - go to steam store page. 99% of negative feedback here is written by exceptionalists that whine about game having no russian localization (just like 100+ other languages, but it doesn't matter for them). You aren't required to have this game in order to rate it 0 or 10 here, me is a perfect example, but steam have better approach. Go there and read real player's opinions, not hate mob agenda.</span>",5,7
20,Psychonauts 2,"Aug 30, 2021",10,"<span>16 years of waiting, 16 hours of completing the story and side quests. Thank you, uncle Shafer, for this magnificent two-part story!
<br/>
<br/>P.S.Sorry for the Russian community, we are not all like that :(</span>",7,10
21,Psychonauts 2,"Aug 27, 2021",10,"<span class=""blurb blurb_expanded"">Впервые ставлю оценку на метакритике ради того, чтобы поддержать любимых разработчиков данного шедевра. Не понимаю, как можно занижать рейтинги игры из-за отсутствия локализации, куда более разумный способ решения проблемы через подпись петиции, а не негативом</span>",8,12
22,Psychonauts 2,"Aug 28, 2021",10,"<span>Everything is like the good old days. Nostalgia ..... Many thanks to the authors for the work done !!!
<br/>Все как в старые добрые времена. Ностальгия..... Большое спасибо авторам за проделанную работу!!!</span>",6,9
23,Psychonauts 2,"Aug 26, 2021",10,"<span>the reviews for this game is insane it is not a 0. this game is a great platformer, and the characters and levels are very refreshing. one of the better platformers i played this year.</span>",6,9
24,Psychonauts 2,"Aug 26, 2021",10,<span>2021 GOTY CONTENDER THIS GAME IS AMAZING (STORY GAMEPLAY GRAPHIC ART STYLE ..ETC ) ALL FELLS AMAZING WITHOUT MENTIONING THE INCREDIBLE LEVEL OF CREATIVITY. TIM AND DOUBLE FINE DID A GREAT JOB AND GLAD IT REVIEWED WELL<br/>Big W FOR THE PLAYERS  AND FOR  XBOX TO HAVE THIS AMAZING DEVS FROM DOUBLE FINE UNDER THEIR UMBRELLA AND CAN'T WAIT TO SEE THEIR NEXT PROJECT THAT THEY WAS TEASING</span>,6,9
25,Psychonauts 2,"Aug 26, 2021",10,"<span class=""blurb blurb_expanded"">Amazing game. Beautiful graphics. I don’t know why this game is getting so much hate. This is an amazing game don’t look at the negative reviews. The graphics are alright story is amazing. Gameplay is also great but is a little clunky. There are 30 years old complaining the game is too cartoonish. If you are on Xbox or pc use game pass.  If you are playing on PlayStation then you have no option but buy it. Game pass is an amazing service</span>",6,9
26,Psychonauts 2,"Aug 27, 2021",10,<span>Fun gameplay and great humour. Can't stop playing. One of the most exciting games this year</span>,6,9
27,Psychonauts 2,"Aug 27, 2021",10,<span>Same original cast 16 years later. Same craziness. Psychonauts 2 is already a classic.</span>,6,9
28,Psychonauts 2,"Aug 27, 2021",10,"<span>Эту игру я ждала 16 лет, так что отсутвие перевода не мешает насладиться игрой. Я благодарна разработчикам и всем, кто поддерживает этот проект.</span>",6,9
29,Psychonauts 2,"Aug 27, 2021",10,"<span>Fantastic 3D platformer adventure ! the art style is really unique and imaginative, the gameplay and level design are amazingn the collectibles, secrets, all that is a call back to the old school era of Platformers, and is really funny, characters are likable and each of them has its own personality. Raz especially is a really likable character</span>",4,6
30,Psychonauts 2,"Sep  6, 2021",10,<span>Honestly think it's more of a 7.5/10 but it needs so good ratings since it's getting review bombed by angry Russian players for not having Russian subs but nothing to do with the quality of the game</span>,4,6
31,Psychonauts 2,"Aug 26, 2021",10,"<span>Sad console war people gotta review bomb this. Don't listen to the bad reviews, this game is a masterpiece.</span>",4,6
32,Psychonauts 2,"Aug 26, 2021",10,"<span>Another masterpiece from Doublefine. Simple but deep history, great gameplay and the graphic style is awesome. 10/10.</span>",4,6
33,Psychonauts 2,"Aug 26, 2021",10,"<span>From graphics to gameplay, game is very fun and enjoyable. I like the original story themes. At the very least try the game on game pass and see for yourself.</span>",4,6
34,Psychonauts 2,"Aug 26, 2021",10,"<span>Excellent gameplay, mechanics are well polished and graphics are beautiful, so far I haven't experienced any frame drop</span>",4,6
35,Psychonauts 2,"Aug 27, 2021",10,"<span>Great gameplay, creative and often laugh out loud funny. Transcends the platform genre.</span>",4,6
36,Psychonauts 2,"Aug 27, 2021",10,"<span>Jogo extremamente divertido. Arte perfeita. jogabilidade boa e de fácil aprendizagem, historia super divertida. Jogue sem medo.</span>",4,6
37,Psychonauts 2,"Aug 27, 2021",10,"<span>El mejor sin duda en todos los sentidos, jugabilidad, escenarios y banda sonora!</span>",4,6
38,Psychonauts 2,"Aug 27, 2021",10,"<span>Add Russian subtitles, please. Generally add more subtitle options to the game for more languages.
<br/>Currently the best game of the year. Very creative, interesting and in it each level is done differently.</span>",4,6
39,Psychonauts 2,"Aug 27, 2021",10,<span>A beautiful game that offers such great gameplay and the levels are so fantastically creatively designed!</span>,4,6
40,Psychonauts 2,"Sep  2, 2021",10,"<span class=""blurb blurb_expanded"">I just got done playing and beating this original, wholesome game. Don't listen to the negative reviews. They all are mad Playstation fanboys who banned together to poop on this game. But do yourself a favor and play this game. It really is amazing the amount of love that went into this game. You won't regret playing. Not only is Raz ""the main character"") voiced by the guy who played invader Zim, but Grr also makes a guest appearance . You will just want to love the colorful charecters</span>",4,6
41,Psychonauts 2,"Sep  3, 2021",10,"<span>This game is incredible and I didn't unerstand all the negative reviews. Looking at the list I see a LOT of people review bombing because there's no Russian. Didn't realize Russia felt so strongly about Raz and co. Was the original game in Russian? Have they said anything about patching it in later? Sorry I know nothing about localizations, I just like the game.</span>",4,6
42,Psychonauts 2,"Sep  5, 2021",10,<span>A master piece of art. It's quite dirty what Russians are doing with negative review bombing just because they dont have subs in Russian. For them it seems the quality of a game is directly proportional to the goodness of Russian traduction it has.</span>,4,6
43,Psychonauts 2,"Sep  6, 2021",6,"<span class=""blurb blurb_expanded"">While mechanically this is an improvement on Psychonauts in almost everyway, instead of getting rid of the things that didn't work well in the original it ports them over as well. There is some good humor and world building sprinkled throughout the game but the good parts are few and far between. The story is good in the sense that it brings the loose ends from the first game and ties them up but nothing about the story or the characters is as fun or interesting as in the first game. It's been several decades since the release of the first Psychonauts game but I can still remember nearly every world and character and how interesting everything was. It's been a few days since I played Psychonauts 2 last and while I can dredge up memories of the characters and some of the levels I would be hard pressed to say who those characters actually are and what about that particular world was fun and interesting. Tim and Double Fine have shown that they know their way around modern game engines and that they can still make a AAA game. It's just a shame that they can't make it as interesting as they used to.</span>",2,3
44,Psychonauts 2,"Sep  4, 2021",10,"<span>One of the best games I've played for the last couple of years!
<br/>Lot of fun, visual design, characters, story - it has it all. And TONS of adult jokes masked for innocent phrases - so kids won't get them :)</span>",2,3
45,Psychonauts 2,"Aug 27, 2021",10,"<span>It's amazing, everything you expect from DoubleFine and more. The best art style, writing and music in the business, along with clever puzzles and just enough platforming to raise the stakes and provide a challenge.
<br/>
<br/>This is the first game in years that I've stopped to soak in all the details and WANT to hear every line of dialogue.</span>",2,3
46,Psychonauts 2,"Sep  2, 2021",10,<span>Game is pretty fun ngl it's my first of the franchise and I'm liking it a lot. I'll never understand how people can not like this game. Top 3 best platformers in recent years.</span>,2,3
47,Psychonauts 2,"Aug 28, 2021",10,"<span>The best game series I ever played. Great humor, great characters and story. An unusual view of human mind. The gameplay is amazing and constantly brings something new. I will definitely go play it again and again.</span>",2,3
48,Psychonauts 2,"Aug 28, 2021",10,<span>Un juego que no farda de graficasos pero si de un nivel artístico alucinante divertidísimo.</span>,2,3
49,Psychonauts 2,"Aug 28, 2021",10,"<span>A perfect followup from the Doublefine team. The first time in ages I've desperately hoped for a DLC announcement, so I can shovel more of this series into my brain.</span>",2,3
50,Psychonauts 2,"Aug 28, 2021",10,"<span>Most of the features of the first part have been added and improved. The developers care a lot about the fans of the game, so they kept the voice acting familiar to us from the first part!</span>",2,3
51,Psychonauts 2,"Sep  9, 2021",10,<span>Russian people are absolutely disgusting and they rigged the 2016 election. 10/10 thank you double fine for acknowledging Russians are filth</span>,2,3
52,Psychonauts 2,"Sep  1, 2021",10,"<span>This game is amazing! It's marvelously psycho, and pretty humorous. I really enjoyed it</span>",2,3
53,Psychonauts 2,"Sep  2, 2021",10,"<span>its so addictive and the art of the game i so pretty, i liked a lot the part of the senses, and the changes of perspectives are a great touch!</span>",2,3
54,Psychonauts 2,"Sep 10, 2021",10,"<span class=""blurb blurb_expanded"">Зарегнулся только для того чтобы поставить шедевру и продолжении одной из лучших игр за все время десятку, поддержать любимую игру от абсолютно не обоснованного охреневшего наитупейшего хейта которые прет от дибилов, другим словом я вас не могу назвать, ставить низкую оценку всей игре, когда проблема только в переводе, это просто тупизм. Учитывая насколько шедевральна озвучка на английском языке. Вообще меня удивляет что люди которые не знают английский на простом уровне знают что такое метакритик, еще и както зарегнусться смогли, уау</span>",2,3
55,Psychonauts 2,"Sep 11, 2021",10,"<span>Game of the year, sorry russian folks yall just crying over something that doesnt have nothing to do about the quality of the game</span>",2,3
56,Psychonauts 2,"Sep 21, 2021",9,"<span>This game is an almost perfect platform game.
<br/>It's fun to play and has a really cool gameplay and story.
<br/>I just wish for a better ending and an actual post game secrets to discover.
<br/>But, overall, it's still worth it</span>",2,3
57,Psychonauts 2,"Sep 17, 2021",10,"<span>Отличная игра, не заслужившая такой низкой оценки от юзеров.</span>",2,3
58,Psychonauts 2,"Sep 20, 2021",9,"<span>Achei o jogo legal, bons gráficos, criativo, feito com o coração, não com o bolso, infelizmente o pessoal mais caixista não tratou o jogo como um Indie, e sim como um exclusivo de peso do Xbox, o que não era a proposta do jogo</span>",2,3
59,Psychonauts 2,"Aug 26, 2021",10,"<span class=""blurb blurb_expanded"">The user reviews for this game are exactly what is wrong with this website and user reviews in general. Half of them are about the game not being translated in Russian and the other half you can check for yourself. Now realistically this game is not a 10 ( I'd give it a 9 at best, still a great game) but I have to even out the chalk eating basement dwellers who rated this game 1 just because it's ""not translated in Russian"" or "" the graphics are not next gen "".</span>",9,14
60,Psychonauts 2,"Aug 26, 2021",10,"<span>Fantastic game with a greta story line, if you are looking to relax and have a good time, this will be the game</span>",7,11
61,Psychonauts 2,"Sep  5, 2021",10,"<span>Haha, game doesn't have russian translation 10/10
<br/>Who cares, you can't afford the game anyway lol, go vote Putin</span>",5,8
62,Psychonauts 2,"Aug 26, 2021",10,"<span>Absolutely amazing platformer, story is fun, characters are amazing, visuals are so unique and pleasing, very Tim Burton-esque. It saddens me to se this game get review bombed because of a lacking language option, really crappy behavior as it is clear how much work went into this amazing games creation.</span>",8,13
63,Psychonauts 2,"Aug 26, 2021",10,"<span>Excelente sin palabras. el estilo de arte de Tim Burton en este juego es hermoso, tocar temas que otros videojuegos a día de hoy no se atreven a tocar como lo es la sicología es simplemente de aplaudir, se agradece mucho este tipo de desiciones narrativas sobre todo en un juego de plataforma, sin duda MI CANDIDATO A GOTY 2021 muy recomendable!!</span>",6,10
64,Psychonauts 2,"Sep  1, 2021",6,"<span>The level design and platforming are pretty good in this game, what kills it for me is the combat I found it not fun from the get go and it progressively got more and more annoying.</span>",3,5
65,Psychonauts 2,"Aug 27, 2021",10,<span>Good game all around I’m intrigued to see what double fines next project is</span>,3,5
66,Psychonauts 2,"Aug 26, 2021",10,"<span>Diseño de niveles exquisito, imaginativo, mordaz y una delicia jugable.
<br/>
<br/>JUEGARDO</span>",3,5
67,Psychonauts 2,"Aug 29, 2021",10,"<span>Hahaha... Russians bombing with 0/10 because there is no russian language there. I'm m sorry, I just cannot. Try to learn english, ignorants. Game is a masterpiece btw. Big dose of nostalgia. If you played the first one and you liked it, this is must buy.</span>",3,5
68,Psychonauts 2,"Aug 27, 2021",10,"<span>One of the greatest platformers ive ever played, heavily improved from the first game</span>",7,12
69,Psychonauts 2,"Aug 26, 2021",10,"<span>A fun platforming adventure filled with creative worlds, and memorable characters. This is the sequel we've been waiting for. Ignore the not well thought out 1 review ratings. Welcome back Raz.</span>",8,14
70,Psychonauts 2,"Aug 27, 2021",10,"<span class=""blurb blurb_expanded"">Отличная игра для взрослых (детям не место в этой игре) и с отличным юмором. А английский в ней простой и понятен любому школьнику. Ставят оценки 0/10 из-за отсутствия русского языка только законченные люди с протухшим мозгом. Идите английский учите или играйте в игры для быдла (кс го, танки) где есть ваш любимый ""русик"".</span>",8,14
71,Psychonauts 2,"Aug 27, 2021",10,"<span>Extreme amount of fun, great mechanics, cool graphics and story.<br/>A must play for platformer gamers</span>",4,7
72,Psychonauts 2,"Aug 27, 2021",10,<span>This is the best game ive played so far in 2021; truly amazing art design and terrific humor; lives up to the expectations for a follow up to its classic predecessor. Thank you Double Fine!</span>,4,7
73,Psychonauts 2,"Aug 30, 2021",10,"<span>Великолепная игра от великолепных разработчиков! Thank you, Double Fine, for such an amazing adventure you gave us!
<br/>Gameplay, story, characters and visual design - every single part of this game brought a lot of fun to me. It feels that this project was made with love. This sequel was worth the years of waiting</span>",4,7
74,Psychonauts 2,"Aug 27, 2021",10,"<span>15 years of wating. And it's worth that!<br/>The sequel we deserved. Hope, the DLSes and part 3 won't take another decade</span>",5,9
75,Psychonauts 2,"Aug 26, 2021",10,"<span>It's just the best game of the year until nós for me. Alongside ""It takes two"" and ""Ratchet and Clank"", it's a really good exemplar of modern platformers done right. It has a few rough edges, but it's simply not enough to take away the Fun and the masterclass of good level design.</span>",6,11
76,Psychonauts 2,"Aug 26, 2021",10,"<span>Toxic reviews are to be ignored. This is an amazing game with unbelieveable creativity on display, you won't get a experience like this anywhere else.</span>",6,11
77,Psychonauts 2,"Aug 26, 2021",10,<span>Que no te engañe su apartado graficas la profundidad sobre la que trata los problemas en nuestro cerebro es increíble</span>,7,13
78,Psychonauts 2,"Aug 26, 2021",10,"<span>ponys attacking the game lol it is amazing they are salty,  the game deserves goty, gameplay is great, voice acting is amazing!</span>",7,14
79,Psychonauts 2,"Aug 26, 2021",10,"<span>A section of levels incredible total variety in its ""missions"" with a beautiful background, that does not deceive its graphics.</span>",7,14
80,Psychonauts 2,"Aug 26, 2021",10,"<span>This is the best game of the year. A great adventure, beautiful details, very outstanding humor</span>",6,12
81,Psychonauts 2,"Aug 27, 2021",10,"<span>Great story, graphically interesting, and unique concepts. The game is engaging and fun, which game developers tend to forget these days. Playing it on both PC and Xbox Series X for testing.</span>",5,10
82,Psychonauts 2,"Aug 26, 2021",10,<span>Jogo incrível!!!!<br/>Continuaram as histórias do 1 jogo de maneira sensacional.<br/>Ótimo lançamento para o Gamepass :D</span>,5,10
83,Psychonauts 2,"Aug 26, 2021",10,"<span>Народ, вы совсем поехавшие? За незнание английского языка, единичку стоит поставить вашему уровню развития. Игра отменная!</span>",5,10
84,Psychonauts 2,"Aug 27, 2021",10,"<span>I'm 6 hours in, and I love it. Not the greatest game, but for this year, it's definitely a GOTY contender.<br/>Stop review bombing it and lose your virginity.</span>",4,8
85,Psychonauts 2,"Aug 26, 2021",10,"<span>I’ve rarely played anything that is so unashamedly itself. Each hour is different, each character distinct and memorable, each new psychic playground full of surprises</span>",4,8
86,Psychonauts 2,"Aug 26, 2021",10,<span>Amazing level design. Just a fun charming game everything is so well done definitely one of the top games of 2021 for me.</span>,4,8
87,Psychonauts 2,"Aug 26, 2021",10,"<span>The most unique, creative and fantastical game in years. Tim Schafers mind continues to impress with the best 3D platformer since Super Mario Odyssey. It will be a long time before we see anything top this.</span>",4,8
88,Psychonauts 2,"Aug 26, 2021",10,"<span>Excellent gameplay, mechanics are well polished and graphics are beautiful, so far I haven't experienced any frame drop</span>",4,8
89,Psychonauts 2,"Aug 26, 2021",10,"<span>This game has been a surprise for me, I love the combination of art and game mechanics making of this an enjoyable experience. The story is intriguing and engaging, Raz as a character is someone you can relate to. I just love it!</span>",3,6
90,Psychonauts 2,"Aug 26, 2021",10,"<span>Really good game. Everything is perfect from the level design, to the characters, humor, story, art style, and so much more. The only thing that isn’t amazing is the combat which is still good.</span>",3,6
91,Psychonauts 2,"Aug 26, 2021",10,<span>This year we have  Rift Apart and Psychonauts 2 . Both have done so well.  I almost feel like the golden age of animation games is back.</span>,3,6
92,Psychonauts 2,"Aug 27, 2021",10,"<span>This is simply amazing. Would love more languages, it this doesn't remove how amazing and carefully created this game is.</span>",3,6
93,Psychonauts 2,"Aug 26, 2021",10,"<span>Un nivel de imaginación fenomenal, top 5 de los mejores juegos de este 2021.</span>",3,6
94,Psychonauts 2,"Aug 27, 2021",10,"<span class=""blurb blurb_expanded"">Biased review: For a fan, this is a awesome sequel with an update to everything that was great in the 1st game.
<br/>For a 1st time player, this is a polished platformer, with world that rewards exploration, with useful items, power ups and side quests.
<br/>The story explores, subjects like addiction, anxiety and PTSD in lighthearted manner, that is eye opening and doesn't make you depressed. These themes are also presented through distinct characters and a very creative and artistic level design, that looks great with Unreal engine.
<br/>
<br/>Minor issue for me is couple of texture popins on small items.</span>",3,6
95,Psychonauts 2,"Sep  7, 2021",10,"<span class=""blurb blurb_expanded"">Спасибо за продолжение культовой игры детства!
<br/>За русский язык в игре можете не переживать. Фанатские переводы существовали, существуют и будут существовать. Не понимаю как те люди, что забрасывают игру нолями забыли о них.
<br/>Уверен, прямо сейчас какая-то группа переводчиков заканчивает свой перевод и скоро в вашу игру смогут поиграть все, даже те, кто бросают ноли.</span>",3,6
96,Psychonauts 2,"Aug 26, 2021",10,"<span>IAt first I had a hesitation about the game and the story. Then it opened up and started to go smoothly. The world is very beautiful very colorful, I would recommend it to everyone.</span>",2,4
97,Psychonauts 2,"Sep  3, 2021",10,"<span>LoL this game is apparently so bad that the same 'people' forced themselves to play the game on XBox One, PS4, PC and XBox Series X¦S so that they could review bomb it with scores of 0 or 1 on every platform... even if they couldn't understand the languages. We should all give thanks for the selfless dedication of these individuals.</span>",1,2
98,Psychonauts 2,"Sep 19, 2021",7,"<span>A fun story and some really cool levels make for a good time. The ability switching was a total ball drop though.
<br/>
<br/>Date Completed: 2021-09-18
<br/>Playtime: 18h
<br/>Enjoyment: 7/10
<br/>Recommendation: If you like the first one, yes. If you never played the first one, maybe. If you didn't like the first one, no.</span>",1,2
99,Psychonauts 2,"Aug 31, 2021",10,"<span>Пожалуйста, не занижайте оценки за отсутствие русского языка. Игра великолепная, ничуть не хуже первой части, даже наоборот. Играть с английскими субтитрами вполне возможно.</span>",1,2
100,Psychonauts 2,"Sep 25, 2021",8,"<span class=""blurb blurb_expanded"">I remember having a great time on the first one, but I cant remember it was as funny as this one. Maybe my english just wasn't as good then, but I though this one was hilarious. It does get a little repetitive at times, but the game is not long enogh to bore or annoy you. Considering it's on gamepass now, i can highly recomend trying it.
<br/>
<br/>ps: Oh, and another thing I can't really remember is if the first game was this good at talking about mental health using metaphors and gaming mechanics, really interesting</span>",1,2
101,Psychonauts 2,"Sep 18, 2021",10,"<span class=""blurb blurb_expanded"">Psychonauts Subsequent Videogame not translated for make benefit once glorious nation of Grulovia! Deluginists furious. 0 caviar cans out of 10.
<br/>Joking aside, I love this game. It has clever writing with a focus on mental health and empathy, smart level design, colorful characters, funny dialogue, great voice acting and soundtrack.
<br/>I'd recommend playing (or watching if you don't have VR) The Rhombus of Ruin for backstory and of course the first game if you missed it.
<br/>Psychonauts 2 isn't perfect, I'd give it a 9 but I'm rating it 10 to counter the ridiculous Russian review bombing. It's my native language too and I'm not complaining that a Russian translation isn't available now. The original Psychonauts had one but AFAIK they never promised it for the sequel. Hopefully they'll add it (fan projects are on the way) but I don't think the attitude I'm seeing in some of the user reviews will help.</span>",1,2
102,Psychonauts 2,"Nov  9, 2021",10,"<span>This is my GOTY so far. It's by far the best platformer I ever played. It's extremely creative, it has a perfect story, lovable characters, fantastic gameplay.</span>",1,2
103,Psychonauts 2,"Sep 12, 2021",10,"<span class=""blurb blurb_expanded"">Most of the negative scores are coming from Russian language shippers who can't accept that they aren't a first-class market for anything. I'm somebody who hasn't enjoyed platformers in general because I find them boring when they're not too difficult... either way a downer. But Psychonauts 2 is to platformers what WoW was to RPGs... a whole universe better! It's a bit short of an open-world MMO/RPG, but the writing and art are outstanding. You can turn combat damage down or off and just enjoy the jumping puzzles and the story line. Every part of this story has its own unique style and challenges. Don't miss it!</span>",1,2
104,Psychonauts 2,"Sep 27, 2021",8,"<span class=""blurb blurb_expanded"">Microsoft by putting this game on the game pass has really showcased the xbox game pass as a Potential future, however at the same time due to not ensuring the games are of equal quality on both game consoles has made me sad as I wouldn't have played this on PC but my PS5 and paid more cash for it to own it.
<br/>
<br/>I kind of predicted the twist.  The story is charming, the art in some areas is stunning. The combat is overly difficult in some areas but the game does have an invisibility mode and yes I couldn't be bothered with the nuances of combat.  You can remap most of the game's powers to any buttons and its often a requirement.  I do which jumping was a little less annyoing in some areas and or you could set an end destination of a jump with a button press and have the game assist your jump (providing it was possible to do it in the first place).
<br/>
<br/>The Song by PSI king gets interrupted and not finished, which makes me a little sad.  - The game is left open for the future which is a good thing.    I do hope we see some sought of teleportation ability in psychonauts 3.
<br/>
<br/>This game however does annoy me as it's not technically 2 as there was the game Psychonauts in the Rhombus of Ruin which sadly hasn't been implemented as a non-VR title meaning there is a gap filled in the story at the start with a cheap comic book.
<br/>
<br/>The pins allow cosmetic changes which are nice but might have been better if they affected powers in different ways e.g reverse ignite into freeze or ignite to electricity.
<br/>
<br/>It would have been nice if you could use your doppelganger to collect collectibles from far away by conjuring them on a different platform and using clairvoyance to take control of your clone.
<br/>
<br/>The game is great in a lot of areas and especially worth playing on game pass but something did get lost between 1 and 2 but I can't put my finger on it. It gained stuff but lost something too. Maybe they needed to develop the side characters more or bring back the old campers rather than make new characters.   I rank this an 8 because of the game development's stance of not being equal for both consoles as clearly it would have been better for Microsoft to prove that games they make are good or both platforms and why you should to pick up an xbox over a sony console one day.  Death loop most likely will be improved in someway when the exclusivity with sony ends but if Microsoft is smart it will keep it on par with the ps5 version to gain more customers over the long term.  Playing this game for a rental cost of 7 is not a bad deal and I would have most likely given it 9 if it was not for some platforming sections or the fact that they didn't make xbox and ps5 version the same standard.</span>",1,2
105,Psychonauts 2,"Aug 28, 2021",10,"<span>Tremendo. De lo mejor de la generación. Más juegos como este, donde la creatividad y calidad se cogen de la mano.</span>",1,2
