,game,date,metacritic_score,review,thumbs_ups,total_thumbs
49,elden-ring,"Mar  1, 2022",1,"<span>It's funny that this game has only 51 reviewes but Horizon has 114! If more people reviewed it, its score wouldn't be this high! It's the same **** and there's nothing new! Even the sound effects are the same! Same boss fights, dungeons and...<br/>Miyazaki is totally overrated!!!</span>",44,110
50,elden-ring,"Feb 28, 2022",4,<span>Outdated graphics and stutter on ps5!<br/>Boring open world and outdated gameplay mechanics!<br/>Ik can't Imagine how this game had a higher  score then Horizon . Sry to say but 60 bucks in the garbage</span>,44,110
51,elden-ring,"Mar  1, 2022",0,<span>Such a disappointing release. Too overhyped for a long time which makes it a real shame.</span>,38,95
52,elden-ring,"Feb 26, 2022",0,"<span>Performance on this game is horrible, drops in frame rate, stuttering, bad graphics, no support for large screens, etc. Wasn't this supposed to be a whole ""new franchise""?</span>",26,65
53,elden-ring,"Feb 27, 2022",2,"<span>97 by critics? What!!? Riding a horse in an open world with bad graphics and old textures isn’t innovative. This game feels like they threw DS 3 in a blender and added some new bosses. Why this gets so much praise… I don’t know. Compared to Horizon Forbidden West (which has a lot of new and improved things, great story and great characters) this game is a big joke.</span>",81,203
54,elden-ring,"Feb 26, 2022",3,"<span>I really don’t see how on earth this game is getting such high review scores. It has dated graphics, UI/Interface, and gameplay. This must be the most overrated game of all time.</span>",75,188
55,elden-ring,"Mar  9, 2022",9,"<span>After 50 hours of play I changed the grade from 4 to 9, really the game is very good</span>",75,188
56,elden-ring,"Feb 28, 2022",3,,75,188
57,elden-ring,"Feb 28, 2022",4,,51,128
58,elden-ring,"Feb 28, 2022",0,"<span>Just simply not a very good game. Little to no story. Most content is missable and untracked. Very outdated and disappointing on accessibility. Unimpressive visual and audio design. Sluggish combat. No climbing. Janky horse. Poor optimization and performance despite very minimal technical ambition. Lots of lazy corners cut, like the slideshow opening.</span>",49,123
59,elden-ring,"Feb 28, 2022",3,"Still dont understand why this game got so many 10/10 reviews. Played DS1,3, Sekiro and somehow I couldnt get much of a feeling that this game is a masterpiece like any other DS fan boys did. This game claims to be an open world game yet still there werent chances to feel that it actually is. Vastness of map became an stress and frustration since most of monsters you encounter are just the repetition of previous series. Even character's attacking motions are just same. Why would I have to suffer through this stressful world given that only reward is to feel the same thing in previous DS series? Elden Ring is playable on next gen console but graphic is just the same as DS 3 with only a little bit of upgrade. I see no progress on graphics when compared to another triple A games and this game got 97 out of 100 from critics? Hope I could refund it but cant because I already spent 2 hours trying to kill Tree Sentinel, which is, of course, totally ruined by poor optimization.",49,123
60,elden-ring,"Mar  2, 2022",4,<span>Seriously guys? This is not a new franchise whatsoever. This is everything in dark souls pretty much reused under the guise of something new. It feels outdated and clunky. Go play Horizon to find out what a brilliantly done open world game looks like cause Elden Ring ain't it.</span>,45,113
61,elden-ring,"Feb 28, 2022",1,"<span>If you like to think the addition of a jump button is a game changer than this game is for you! Do you like rolling through attacks because the game makes you invincible when you do, then hell yes! Do you like to have amazing art to look at but also enjoy graphics on par with ps4 opening day 2012?! Do I have a game for you!<br/><br/>This game blows.</span>",41,103
62,elden-ring,"Feb 28, 2022",1,"<span>If you have any semblance of a life outside of video games, this gsme is not for you. Graphics looks the same as elderscrolls Oblivion.  Controller layout is horrendous and makes the game harder then it already is. Don't waste your money</span>",41,103
63,elden-ring,"Mar  1, 2022",0,"I knew that something wasn't right with the perfect ratings when a game that has a certain style and most definitely isn't for everyone gets 10/10 from everyone. People seem afraid to call it bad or say they didn't like it because they'll get judged for it lol, but it's not a good game, maybe not for me at least, dying 9000 times against a one million HP bosses all the time isn't fun can you believe it? Yeah the difficulty is way too hard to the point of being boring and frustrating to play. But hey the response seems to be ""get gudd"" and ""you're just bad"" instead of making a game with difficulty options and not a good suited for people that wanna spend their whole week on one boss fight.",39,98
64,elden-ring,"Feb 26, 2022",1,"Absolutely no developer should take inspiration from this game's design. Not Rockstar, not Ubisoft, nobody. This is awful and i rarely say that, because i'm not one of those losers who hates everything. But anyone who actually thinks that no quest log (AT ALL) and no markers on map is somehow revolutionary and good game design, can go to hell. Not to even mention awful graphics, unfairly balanced bosses and bad performance.",56,141
65,elden-ring,"Mar  3, 2022",0,,50,126
66,elden-ring,"Feb 27, 2022",0,<span>Most overrated game of 2022 goes to this game! From Software make awful games and Elden Ring is no different just lackluster in every way.</span>,44,111
67,elden-ring,"Mar  2, 2022",0,<span>I played it for 2 days now. Utterly disappointed. Controls are **** No story. No tutorials. Interface is disgusting and cannot equip my ammo. Hit animations are slow and you get one shot because you can't cancel them. Camera is weird and makes combat way harder. You cannot block and walk back I've never been more disappointed in a game</span>,42,106
68,elden-ring,"Feb 28, 2022",0,<span>Clunky controls. Horrific graphics. Arbitrary damage system. Garbage game from a dead company. R.I.P From Software</span>,40,101
69,elden-ring,"Feb 26, 2022",0,<span>The graphics so trash and they give excuse because it an open world game. This generation we expecting more from developer</span>,38,96
70,elden-ring,"Feb 27, 2022",0,Over hyped by critics as usual. They said “this is the most accessible game ever” and that is a complete lie. The jist of this game is ride around and farm small weak enemy’s until you can level up a very big amount then after 6-8 hours you may have a chance at the first boss. It’s doable! But it is not worth the time invested. No guide whatsoever and gets boring fast. As soon as k switched to a game like horizon i started having fun again. That’s what Gaming’s about,36,91
71,elden-ring,"Feb 26, 2022",4,"When do companies want to commit and provide a quality product? Frame rates on next-gen consoles are an absolute joke! They didn't even bother to provide a consistent experience for console gamers considering that they all are using the same hardware. Also should be noted that this is not their first game! They have at least developed 5 souls games on the PS4 platform, I think they should have enough expertise to fully utilize PlayStations API. But they don't care.",102,258
72,elden-ring,"Feb 26, 2022",2,<span>This game seems over rated to me. I just got punked by all the game reviewers out there. Graphics are out dated for sure. The ability to learn how to play the game early on and know what to do enough so that you feel like you are making progress does not exist. The drops after spending an hour to clear an area sucks and I am left wondering why did I spend my time doing this. I am not having fun.</span>,66,168
73,elden-ring,"Mar  2, 2022",1,"<span>Download this game yesterday. I have to admit that the whole game is a masterpiece. HOWEVER, there is no English version in this game in ASEAN area. This problem is really frustrating for me and also for other players. I hope Bandai Namco and Sony can address this issue soon enough. Thank you.</span>",27,70
74,elden-ring,"Feb 26, 2022",0,"I definitely don’t recommend this game. The gameplay is awkward and repetitive. The world is totally empty, not vast and rich as some reviewers are saying, everything looks flat and same all the time. The graphics could be better, physics and animations are very poor, considering the recent high quality games, NPC’s animations during conversations not exist. It is a joke! Sound FX are below average and repetitive. As Link the character can’t speak, combat is not responsive, story is too weak. Really a LAZY job. So it is a disappointment and totally below the expectations of the new gen games.",63,164
75,elden-ring,"Feb 26, 2022",3,<span>This game is not as great as I was hoping. There is a lot of recycling from old games and the open world is no more exciting than any other open world game with too much dead space. There is no cool way to get around. It's just another game with a horse. Graphics are dated and frame rate is subpar for a game with equivalent graphics. No innovation here. Just another Dark Souls. Wait for a sale.</span>,77,202
76,elden-ring,"Feb 26, 2022",4,,64,168
77,elden-ring,"Feb 26, 2022",0,"<span>Awful optimized, exaggerated game. After playing Demon's Souls Remake ıts Like a ps3 game. Where is the damn Dualsense features of Ps5 did you really think users will love it? No User count on Metacritic if you do not change the firms who game this broken game 95-100 points. Its a shame and huge lie without tellin the flaws game.</span>",78,206
78,elden-ring,"Feb 26, 2022",0,"<span>terrible game with many frame rate problems and known bugs at launch, like the save data bug in rest mode. I dont understand how a game with so many problems took so good reviews.</span>",84,222
79,elden-ring,"Feb 26, 2022",0,"<span>The optimisation is bad. Boss fights are quite good, but there are always FPS drops on PS5. I recommend to not buy this game until it will be fixed at all.</span>",85,226
80,elden-ring,"Feb 26, 2022",9,"in my first review I had given a grade 4 on the ps5 version, the grade 4 is referring to performance not to the game, so I decided to play the ps4 version which is backward compatible on the ps5 and the game is much, much better than the ps5 version, the game starts a little monotonous and then it gets very good, really addictive, that's why I changed the note from 4 to 9 because it's a very good game, I'm being fair with the developers, when they fix the ps5 version I'll give it 10",76,203
81,elden-ring,"Feb 26, 2022",3,"Outdated graphics, very bad optimization on both PS5 and PC (yes i have both versions), PS5 runs a bit better, but still not perfect. Huge random frame-drops, camera goes into slow-motion randomly, open world feels dead, boss fights are not fun and you hardly get any meaningful rewards after the fights. Overall this game seems to be another victim of overhype and critics didn't help either with their 95/97 scores that would indicate that this game is close to perfection, sad reality is that it actually feels like indie project.",104,279
82,elden-ring,"Feb 26, 2022",0,,77,207
83,elden-ring,"Feb 26, 2022",0,,96,260
84,elden-ring,"Feb 26, 2022",1,"As a fan of SoulsBorne games, I am around 25hrs in and this game is basically DS set in a boring open area. The core mechanics are copy/pasted from DS, still retains the dated and laggy wonky controls and erratic camera. This might be the worst case of media overrating a game yet. I know the media is desparate to oversell the new gen, but this ain't it. If you don't live and breathe DS, AVOID AT ALL COSTS, or suffer a great disappointment.",73,198
85,elden-ring,"Feb 26, 2022",0,"<span>97 metacritic??? Haben die komplett auf Performance verzichtet oder wie kamen die auf 97er Bewertung? Auf PS5 unspielbar, trashmobs fühlen sich wie minibosse an</span>",70,190
86,elden-ring,"Feb 26, 2022",0,<span>Overrated game has nothing new just the free world the rest of DKS3 xerox there is an impressive collective madness about this game</span>,75,204
87,elden-ring,"Feb 26, 2022",1,"<span>Same as all the previous Souls Games. There has been next to zero improvements in graphics from DS3, and the open world map is massive for no reason. I don’t get how you go from Sekiro to this.</span>",83,226
88,elden-ring,"Feb 26, 2022",1,"<span>Disappointingly amateurish open world design, feels like i'm playing something from 2013, but it's not even top level 2013, more like somewhere in the middle. Awful framedrops, worst vegetation graphics i have seen in very long time, boss movements/animations  seem to be some random ""combo"" from all previous Souls games. Sky looks nice, but that's about it.</span>",94,257
89,elden-ring,"Feb 26, 2022",3,"<span>Bad optimization,,this game need more time,,, unfinished game, from software is going down.</span>",82,225
90,elden-ring,"Feb 26, 2022",3,"It's like ""The Evil Within"" (2014), but bad. Really similar atmosphere, but something went wrong. People often say that ""The Evil Within"" is hard game (bosses are hard) and i have always ""kind of"" agreed, but i never cared when i died in ""The Evil Within"", because the whole game was extremely fun, so i always knew that whenever i beat this boss, there will be some cool new area after that, story goes on, etc. But even more, ""The Evil Within"" boss fight were actually fun, very challenging yes, but fun. Elden Ring is complete opposite. Nothing interesting happens after i beat this insanely overpowered boss and also, none of these fight are actually fun or enjoyable. All bosses in Elden Ring are extremely unfairly balanced against you. There's huge different between ""Challenging boss"" and ""Unfairly balanced boss"". Only boss you can't really kill (until you have met her at least 3-4 times) in The Evil Withing is Laura. She is also most difficult boss in the whole game, because she is ""one hit kill"" boss. The moment she touches you, you are dead. Is she unfairly balanced? NO. Because all you have to do is run away from her. That's the ""fight"", you have to be able to escape her and by the way, it's not easy at all. She can also teleport and she is extremely fast, so yeah, very challenging, but not unfairly balanced, because it's obvious what you have to do to beat her, there are rules. Elden Ring has zero rules. Most of these bosses in Elden Ring have completely randomized combos, attacks, special attacks, stuns, etc. That's what unfairly balanced means. You never know what they do. Never. They can have attack that hits you four times and right after that they hit you with some random combo, jump on you, etc. That's just nonsense. That's not fun, that's not enjoyable and that's why The Evil Within boss fights are fun and Elden Ring boss fight are not. This is obviously just my opinion, but i personally don't enjoy playing unfairly balanced games, so i rather stick to great games that actually make some sense.",74,204
91,elden-ring,"Feb 26, 2022",9,"<span>Great feeling of exploration, the world is huge. Boss fights are amazing. Must play for Soulslike fans.</span>",76,219
92,elden-ring,"Feb 26, 2022",0,,43,171
93,elden-ring,"Mar  8, 2022",10,"<span>God, this game is such a masterpiece, people that are leaving it a 0 because of the ""not a story"" obviously didnt play past the first 2 hours of the game, and leaving a 0 because of ""outdated graphics"" is the lamest of excuses, as if graphics made a game, be fair with your reviews</span>",4,4
94,elden-ring,"Mar  8, 2022",10,<span>One of the best games ever made. It has immediately jumped to my top 3 after 75h of play.</span>,4,4
95,elden-ring,"Mar  8, 2022",10,,4,4
96,elden-ring,"Mar  8, 2022",10,"I have played open world RPGs for over many, many years, and have found that there are two paths that major developers are beginning to take. Either you spam the map full of useless, copy-pasted quests that any monkey can joyfully trot around the map and complete in order to progress some half-assed ""story"", or the developers sink their heart and soul into it. I first thought this when I played some of the Elder Scrolls games, then most recently with Breath of the Wild, and now finally the genre is combined with one of my most beloved franchises, Dark Souls. We see this in it's most grandeur display with Elden Ring. This game has blown me away in every way. All of the greatest, honed combat from a decade of development shows up here in satisfying, beautiful gameplay. All of the crazy world and character design from Miyazaki and his team is still present, and takes lots of elements both from Bloodborne and the Souls games. This is without even mentioning all of the work that George R.R. Martin helped out with, story-wise. You can definitely see elements from A Song of Ice and Fire within many of the quests and stories intertwined in Elden Ring. Overall, the gameplay hooked me, the story held me, and the boss/world design knocked it out of the park. I hope Fromsoftware continues with IPs like this, with custom characters and free-to-roam worlds, because I truly believe they are a pioneer in this way. Great game.",4,4
97,elden-ring,"Mar  8, 2022",10,<span>I don’t have a single bad thing to say about this game. I’ve enjoyed every second of the 60+ hours I have on this game.</span>,4,4
98,elden-ring,"Mar 15, 2022",10,<span>Its not a game. Its an journey. I didnt play any souls like ever and my friend recommend elden ring to me. And i love it. Its easy my favourite game of all time. If you have the money just buy it. Words cant discribe it.<br/><br/><br/>Cheers tomsliike</span>,3,3
99,elden-ring,"Mar 15, 2022",9,,3,3
